code,subject,title,credits,description,prerequisites,corequisites,gen_ed,grade_option,repeatable,major_restrictions,class_standing,cross_listed
ACC 200,ACC,Introduction to Accounting I,3,Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part I.,,,,A-F only.,,,Sophomore standing or higher.,
ACC 210,ACC,Introduction to Accounting II,3,Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II.,ACC 200 (with a C- or better).,,,,,,,
ACC 321,ACC,Intermediate Financial Accounting I,3,"Accounting process and the application of GAAP to the recognition and measurement of cash, receivables, inventories, property plant and equipment, depreciation and depletion, intangibles, and current liabilities.","ACC 200 and ACC 210, or BUS 624 (with a minimum grade of C- or better).",,,,,,,
ACC 323,ACC,Intermediate Financial Accounting II,3,Term paper and meetings with faculty advisor required.,consent.,,,CR/NC only.,,,,
ACC 399,ACC,Directed Reading and Research,V,"Reading and research of a special area in major under direction of faculty member(s). Project must include statement of objectives, outline of activities planned, results expected, and how they are to be reported and evaluated. Must be approved in advance by the department chair and faculty advisor.",,,,,,,,
ACC 401,ACC,Federal Individual Income Taxation,3,"Examines federal income tax concepts, such as gross income, exclusions, deductions, exemptions, and tax credits, especially for sole proprietors. Introduces taxation of property transactions. Development of professional writing skills is integral to this course.","ACC 200 and ACC 210, or BUS 624 (with a minimum grade of C- or better).",,,,,,,
ACC 407,ACC,Taxation of Business Entities,3,"A survey of the general concepts, rules, and practices involved in the taxation of sole-proprietorships, corporations, partnerships, and subchapter S corporations.",ACC 401 with C- or better.,,,,,,,
ACC 409,ACC,Accounting Information Systems,3,"Accounting systems analysis, control and design in manual and computerized environments. Knowledge and skills of information technology for auditing AIS systems. Hands-on experience with microcomputers and a computerized accounting system.",ACC 323 (with C- or better or concurrent) and BUS 311 (with C or better).,,,A-F only.,,,,
ACC 413,ACC,Law for the Accountant,3,"Intensive study of areas of law of importance to accountants. Particular attention is given to principles of law relating to contracts, sales, commercial paper, secured transactions, property, legal entities, agency, securities, and accountant's legal liability.",ACC 321 with C- or better.,,,,,,,
ACC 395,ACC,Accounting Internship,V,On-the-job experience in the accounting community.,BLAW 200 or consent.,,,,,,,
ACC 415,ACC,Advanced Financial Accounting,3,"Accounting topics relating to consolidation requirements and introduction to the fundamentals of fund accounting, including the general fund, restricted funds, debt service funds, enterprise funds, general long-term account group, general fixed assets accounting group, and accounting entries for encumbrances.",ACC 323 with C- or better.,,,,,,,
ACC 416,ACC,Special Topics in Accounting,V,Addresses current issues impacting the accounting profession. Topics vary each semester.,consent.,,,,"2 times, up to 9 credits.",,,
ACC 418,ACC,Auditing,3,"Auditing concepts including standards, objectives and ethics for external auditors. Emphasis on reporting standards, internal control, evidence, statistical sampling, IT audits and assurance. Development of professional writing skills is an integral part of this course.","ACC 323 and ACC 409, both with C- or better.",,,,,,,
ACC 425,ACC,Forensic Accounting,1,"Theoretical and real life aspects of forensic accounting. Includes discussions of the legal environment, types of forensic engagements such as, lost earnings, business valuations, fraud, and real world forensic cases.",ACC 418,,,A-F only.,"1 time, but credit earned one time only.",,,
ACC 465,ACC,(Alpha) Accounting Capstone,2,"Integration of numerous elements of the accounting program. Current accounting issues discussed. Lectures, discussions, case analysis. (B) managerial-taxethics; emphasis on instruction in writing; (C) financialauditing-accounting information systems. ACC 465B - Accounting Capstone: Managerial Accounting-Tax-Ethics - Credits: 2 Integration of numerous elements of the accounting program. Current accounting issues discussed. Lectures, discussions, case analysis. (B) managerial-taxethics; emphasis on instruction in writing; (C) financialauditing-accounting information systems.",ACC 401 (or concurrent) and ACC 418 (or concurrent) for (B); ACC 418 (or concurrent) for (C).,,,A-F only.,,ACC majors only.,,
ACC 602,ACC,CPA Review-Audit and Attestation,1,"Auditing and Attestation (AUD) section covers the entire auditing process, including auditing procedures, generally accepted auditing standards, standards related to attest engagements, and the AICPA Code of Professional Conduct. governmental and other entities.",ACC 323,,,CR/NC only.,,,,
ACC 605,ACC,CPA Review-The Regulation,1,"The Regulation section focuses on federal taxation, especially taxation of business entities; individuals, and property taxation, but also tests on business law, business ethics, and professional and legal responsibilities.",ACC 407 (or concurrent).,,,CR/NC only.,,,,
ACC 610,ACC,International Corporate Governance,3,"Understanding of complex and critical issues of international corporate governance, financial reporting, and ethical conduct. Includes corporate governance in the U.S., major European markets, and Asia. Emphasis on internal and external stakeholders, regulators, and gatekeepers.",,,,A-F only.,,,Graduate students only.,
